Datetime,DiffuseFlows
1/1/2017 0:00,0.119
1/1/2017 0:10,0.085
1/1/2017 0:20,0.1
1/1/2017 0:30,0.096
1/1/2017 0:40,0.085
1/1/2017 0:50,0.108
1/1/2017 1:00,0.096
1/1/2017 1:10,0.093
1/1/2017 1:20,0.141
1/1/2017 1:30,0.111
1/1/2017 1:40,0.108
1/1/2017 1:50,0.126
1/1/2017 2:00,0.096
1/1/2017 2:10,0.134
1/1/2017 2:20,0.152
1/1/2017 2:30,0.096
1/1/2017 2:40,0.134
1/1/2017 2:50,0.163
1/1/2017 3:00,0.108
1/1/2017 3:10,0.13
1/1/2017 3:20,0.152
1/1/2017 3:30,0.185
1/1/2017 3:40,0.137
1/1/2017 3:50,0.134
1/1/2017 4:00,0.134
1/1/2017 4:10,0.122
1/1/2017 4:20,0.096
1/1/2017 4:30,0.1
1/1/2017 4:40,0.148
1/1/2017 4:50,0.137
1/1/2017 5:00,0.134
1/1/2017 5:10,0.152
1/1/2017 5:20,0.093
1/1/2017 5:30,0.104
1/1/2017 5:40,0.148
1/1/2017 5:50,0.082
1/1/2017 6:00,0.126
1/1/2017 6:10,0.156
1/1/2017 6:20,0.063
1/1/2017 6:30,0.096
1/1/2017 6:40,0.119
1/1/2017 6:50,0.193
1/1/2017 7:00,0.152
1/1/2017 7:10,0.134
1/1/2017 7:20,0.119
1/1/2017 7:30,0.119
1/1/2017 7:40,0.089
1/1/2017 7:50,0.104
1/1/2017 8:00,0.145
1/1/2017 8:10,0.949
1/1/2017 8:20,3.134
1/1/2017 8:30,6.494
1/1/2017 8:40,10.13
1/1/2017 8:50,17
1/1/2017 9:00,20.15
1/1/2017 9:10,22.55
1/1/2017 9:20,24.3
1/1/2017 9:30,26.9
1/1/2017 9:40,28.19
1/1/2017 9:50,29.2
1/1/2017 10:00,29.23
1/1/2017 10:10,31.01
1/1/2017 10:20,31.96
1/1/2017 10:30,32.42
1/1/2017 10:40,33.22
1/1/2017 10:50,33.41
1/1/2017 11:00,33.43
1/1/2017 11:10,33.89
1/1/2017 11:20,34.4
1/1/2017 11:30,35.29
1/1/2017 11:40,37.58
1/1/2017 11:50,43.46
1/1/2017 12:00,43.2
1/1/2017 12:10,37.92
1/1/2017 12:20,38.81
1/1/2017 12:30,39.46
1/1/2017 12:40,40.92
1/1/2017 12:50,40.9
1/1/2017 13:00,40.94
1/1/2017 13:10,42.75
1/1/2017 13:20,44.65
1/1/2017 13:30,44.26
1/1/2017 13:40,39.32
1/1/2017 13:50,38.65
1/1/2017 14:00,39.49
1/1/2017 14:10,39.94
1/1/2017 14:20,39.95
1/1/2017 14:30,41.52
1/1/2017 14:40,44.13
1/1/2017 14:50,43.87
1/1/2017 15:00,44.9
1/1/2017 15:10,46.89
1/1/2017 15:20,51.51
1/1/2017 15:30,57.14
1/1/2017 15:40,60.31
1/1/2017 15:50,67.85
1/1/2017 16:00,128.9
1/1/2017 16:10,219.1
1/1/2017 16:20,246
1/1/2017 16:30,248.1
1/1/2017 16:40,231.6
1/1/2017 16:50,211.9
1/1/2017 17:00,201.7
1/1/2017 17:10,163
1/1/2017 17:20,144.3
1/1/2017 17:30,120.6
1/1/2017 17:40,94
1/1/2017 17:50,28.08
1/1/2017 18:00,18.29
1/1/2017 18:10,7.02
1/1/2017 18:20,2.763
1/1/2017 18:30,0.89
1/1/2017 18:40,0.197
1/1/2017 18:50,0.089
1/1/2017 19:00,0.085
1/1/2017 19:10,0.096
1/1/2017 19:20,0.126
1/1/2017 19:30,0.126
1/1/2017 19:40,0.074
1/1/2017 19:50,0.093
1/1/2017 20:00,0.085
1/1/2017 20:10,0.104
1/1/2017 20:20,0.108
1/1/2017 20:30,0.093
1/1/2017 20:40,0.119
1/1/2017 20:50,0.078
1/1/2017 21:00,0.07
1/1/2017 21:10,0.119
1/1/2017 21:20,0.085
1/1/2017 21:30,0.089
1/1/2017 21:40,0.093
1/1/2017 21:50,0.122
1/1/2017 22:00,0.141
1/1/2017 22:10,0.093
1/1/2017 22:20,0.093
1/1/2017 22:30,0.141
1/1/2017 22:40,0.115
1/1/2017 22:50,0.119
1/1/2017 23:00,0.082
1/1/2017 23:10,0.078
1/1/2017 23:20,0.134
1/1/2017 23:30,0.1
1/1/2017 23:40,0.082
1/1/2017 23:50,0.122
1/2/2017 0:00,0.163
1/2/2017 0:10,0.108
1/2/2017 0:20,0.13
1/2/2017 0:30,0.134
1/2/2017 0:40,0.152
1/2/2017 0:50,0.156
1/2/2017 1:00,0.108
1/2/2017 1:10,0.145
1/2/2017 1:20,0.178
1/2/2017 1:30,0.145
1/2/2017 1:40,0.126
1/2/2017 1:50,0.13
1/2/2017 2:00,0.159
1/2/2017 2:10,0.13
1/2/2017 2:20,0.156
