Datetime,GeneralDiffuseFlows
1/1/2017 0:00,0.051
1/1/2017 0:10,0.07
1/1/2017 0:20,0.062
1/1/2017 0:30,0.091
1/1/2017 0:40,0.048
1/1/2017 0:50,0.059
1/1/2017 1:00,0.048
1/1/2017 1:10,0.055
1/1/2017 1:20,0.066
1/1/2017 1:30,0.062
1/1/2017 1:40,0.051
1/1/2017 1:50,0.059
1/1/2017 2:00,0.07
1/1/2017 2:10,0.07
1/1/2017 2:20,0.055
1/1/2017 2:30,0.07
1/1/2017 2:40,0.051
1/1/2017 2:50,0.062
1/1/2017 3:00,0.066
1/1/2017 3:10,0.051
1/1/2017 3:20,0.062
1/1/2017 3:30,0.051
1/1/2017 3:40,0.07
1/1/2017 3:50,0.059
1/1/2017 4:00,0.044
1/1/2017 4:10,0.07
1/1/2017 4:20,0.062
1/1/2017 4:30,0.073
1/1/2017 4:40,0.062
1/1/2017 4:50,0.037
1/1/2017 5:00,0.055
1/1/2017 5:10,0.051
1/1/2017 5:20,0.055
1/1/2017 5:30,0.044
1/1/2017 5:40,0.073
1/1/2017 5:50,0.117
1/1/2017 6:00,0.062
1/1/2017 6:10,0.04
1/1/2017 6:20,0.099
1/1/2017 6:30,0.099
1/1/2017 6:40,0.037
1/1/2017 6:50,0.033
1/1/2017 7:00,0.048
1/1/2017 7:10,0.055
1/1/2017 7:20,0.081
1/1/2017 7:30,0.07
1/1/2017 7:40,0.073
1/1/2017 7:50,0.066
1/1/2017 8:00,0.187
1/1/2017 8:10,0.955
1/1/2017 8:20,3.188
1/1/2017 8:30,6.643
1/1/2017 8:40,12.64
1/1/2017 8:50,58.97
1/1/2017 9:00,82.5
1/1/2017 9:10,106.9
1/1/2017 9:20,132.1
1/1/2017 9:30,156.1
1/1/2017 9:40,182.4
1/1/2017 9:50,208.8
1/1/2017 10:00,234.8
1/1/2017 10:10,257.9
1/1/2017 10:20,282.7
1/1/2017 10:30,307
1/1/2017 10:40,327.6
1/1/2017 10:50,349.6
1/1/2017 11:00,371.1
1/1/2017 11:10,388.2
1/1/2017 11:20,401.3
1/1/2017 11:30,419.5
1/1/2017 11:40,430.9
1/1/2017 11:50,437.5
1/1/2017 12:00,450.4
1/1/2017 12:10,470.5
1/1/2017 12:20,480
1/1/2017 12:30,486.1
1/1/2017 12:40,490.2
1/1/2017 12:50,495.9
1/1/2017 13:00,498.1
1/1/2017 13:10,498.1
1/1/2017 13:20,498.8
1/1/2017 13:30,497
1/1/2017 13:40,489.2
1/1/2017 13:50,482.4
1/1/2017 14:00,476.1
1/1/2017 14:10,467.7
1/1/2017 14:20,456.1
1/1/2017 14:30,449.2
1/1/2017 14:40,437.4
1/1/2017 14:50,422
1/1/2017 15:00,409
1/1/2017 15:10,391.8
1/1/2017 15:20,369.4
1/1/2017 15:30,321
1/1/2017 15:40,180.3
1/1/2017 15:50,149.5
1/1/2017 16:00,209.1
1/1/2017 16:10,265.1
1/1/2017 16:20,241.3
1/1/2017 16:30,219
1/1/2017 16:40,195.7
1/1/2017 16:50,174.9
1/1/2017 17:00,165.8
1/1/2017 17:10,132
1/1/2017 17:20,117.4
1/1/2017 17:30,97.6
1/1/2017 17:40,76.5
1/1/2017 17:50,26.51
1/1/2017 18:00,18
1/1/2017 18:10,6.994
1/1/2017 18:20,2.818
1/1/2017 18:30,0.809
1/1/2017 18:40,0.146
1/1/2017 18:50,0.062
1/1/2017 19:00,0.055
1/1/2017 19:10,0.066
1/1/2017 19:20,0.055
1/1/2017 19:30,0.081
1/1/2017 19:40,0.059
1/1/2017 19:50,0.048
1/1/2017 20:00,0.073
1/1/2017 20:10,0.091
1/1/2017 20:20,0.048
1/1/2017 20:30,0.051
1/1/2017 20:40,0.04
1/1/2017 20:50,0.07
1/1/2017 21:00,0.051
1/1/2017 21:10,0.051
1/1/2017 21:20,0.044
1/1/2017 21:30,0.073
1/1/2017 21:40,0.066
1/1/2017 21:50,0.066
1/1/2017 22:00,0.04
1/1/2017 22:10,0.081
1/1/2017 22:20,0.081
1/1/2017 22:30,0.044
1/1/2017 22:40,0.084
1/1/2017 22:50,0.059
1/1/2017 23:00,0.088
1/1/2017 23:10,0.033
1/1/2017 23:20,0.055
1/1/2017 23:30,0.07
1/1/2017 23:40,0.084
1/1/2017 23:50,0.077
1/2/2017 0:00,0.033
1/2/2017 0:10,0.084
1/2/2017 0:20,0.088
1/2/2017 0:30,0.091
1/2/2017 0:40,0.037
1/2/2017 0:50,0.062
1/2/2017 1:00,0.084
1/2/2017 1:10,0.055
1/2/2017 1:20,0.062
1/2/2017 1:30,0.066
1/2/2017 1:40,0.088
1/2/2017 1:50,0.073
1/2/2017 2:00,0.066
1/2/2017 2:10,0.066
1/2/2017 2:20,0.077
1/2/2017 2:30,0.07
1/2/2017 2:40,0.062
1/2/2017 2:50,0.07
1/2/2017 3:00,0.062
1/2/2017 3:10,0.055
1/2/2017 3:20,0.084
1/2/2017 3:30,0.059
1/2/2017 3:40,0.066
1/2/2017 3:50,0.088
1/2/2017 4:00,0.059
1/2/2017 4:10,0.077
1/2/2017 4:20,0.095
1/2/2017 4:30,0.088
1/2/2017 4:40,0.073
1/2/2017 4:50,0.066
1/2/2017 5:00,0.029
1/2/2017 5:10,0.073
1/2/2017 5:20,0.106
1/2/2017 5:30,0.081
1/2/2017 5:40,0.066
1/2/2017 5:50,0.077
1/2/2017 6:00,0.048
1/2/2017 6:10,0.07
1/2/2017 6:20,0.07
1/2/2017 6:30,0.044
1/2/2017 6:40,0.048
1/2/2017 6:50,0.059
1/2/2017 7:00,0.073
1/2/2017 7:10,0.07
1/2/2017 7:20,0.077
1/2/2017 7:30,0.081
1/2/2017 7:40,0.073
1/2/2017 7:50,0.081
1/2/2017 8:00,0.124
1/2/2017 8:10,0.871
1/2/2017 8:20,2.95
1/2/2017 8:30,6.657
1/2/2017 8:40,13.02
1/2/2017 8:50,39.1
1/2/2017 9:00,64.11
1/2/2017 9:10,92.3
1/2/2017 9:20,117.2
1/2/2017 9:30,134.7
1/2/2017 9:40,169.2
1/2/2017 9:50,194
1/2/2017 10:00,218.3
1/2/2017 10:10,246.6
1/2/2017 10:20,270.6
1/2/2017 10:30,288.3
1/2/2017 10:40,309.8
1/2/2017 10:50,337.2
1/2/2017 11:00,360.7
1/2/2017 11:10,381.4
1/2/2017 11:20,396.6
1/2/2017 11:30,410.8
1/2/2017 11:40,425.6
1/2/2017 11:50,440.2
1/2/2017 12:00,452.5
1/2/2017 12:10,460.5
1/2/2017 12:20,469.9
1/2/2017 12:30,476.2
1/2/2017 12:40,482.3
1/2/2017 12:50,485.1
1/2/2017 13:00,487.1
1/2/2017 13:10,487.6
1/2/2017 13:20,486.9
1/2/2017 13:30,484.1
1/2/2017 13:40,481.1
1/2/2017 13:50,477.2
1/2/2017 14:00,470.9
1/2/2017 14:10,463.4
1/2/2017 14:20,451.8
1/2/2017 14:30,441.9
1/2/2017 14:40,427.9
1/2/2017 14:50,413.9
1/2/2017 15:00,399.4
1/2/2017 15:10,381.1
1/2/2017 15:20,364.3
1/2/2017 15:30,345.8
1/2/2017 15:40,324.6
1/2/2017 15:50,302.9
1/2/2017 16:00,280.3
1/2/2017 16:10,260.6
1/2/2017 16:20,238.2
1/2/2017 16:30,216.8
1/2/2017 16:40,192
1/2/2017 16:50,165.5
1/2/2017 17:00,142.6
1/2/2017 17:10,119.9
1/2/2017 17:20,98.7
1/2/2017 17:30,77.5
1/2/2017 17:40,58.1
